MACROPROCESO,Encuestas,Promotores,Neutros,Detractores,%Detractores,NPS,% de los detractores
Retención,1,0,1,0,0.0,0.0,0.0
Retención o Cancelación TC,270,183,34,53,19.6,48.1,1.0
Información Oficinas / Corresponsales / Cajeros,135,95,11,29,21.5,48.9,0.5
Pendiente por tipificar,50,36,5,9,18.0,54.0,0.2
Indisponibilidad de canales o productos,740,548,66,126,17.0,57.0,2.3
Transferencia de Llamada,223,172,7,44,19.7,57.4,0.8
Renta Ciudadana / Devolución del Iva,433,326,35,72,16.6,58.7,1.3
GMF,349,280,24,45,12.9,67.3,0.8
Banco Agrario de Colombia,37584,30405,2319,4860,12.9,68.0,90.1
Colombia Mayor,34,29,1,4,11.8,73.5,0.1
Ayuda Humanitaria,25,24,0,1,4.0,92.0,0.0
