PROCESO,Encuestas,Promotores,Neutros,Detractores,%Detractores,NPS,% de los detractores
Renta Ciudadana,1,0,0,1,100.0,-100.0,0.0
Cambio de Modalidad de Pago,3,1,0,2,66.7,-33.3,0.0
Tasas y tarifas,3,0,2,1,33.3,-33.3,0.0
Novedades con el pago por giro,4,2,0,2,50.0,0.0,0.0
No Efectiva,1,0,1,0,0.0,0.0,0.0
Credito Digital,28,13,3,12,42.9,3.6,0.2
Cuenta de ahorros digital,39,22,3,14,35.9,20.5,0.3
Consulta de Fechas de Pagos,3,2,0,1,33.3,33.3,0.0
Cancelación no efectiva,178,114,23,41,23.0,41.0,0.8
Aplicativos Banco,196,134,20,42,21.4,46.9,0.8
Aplicaciones moviles,72,49,8,15,20.8,47.2,0.3
Peticiones/Quejas/Reclamos,821,579,78,164,20.0,50.5,3.0
Depositos Judiciales o Especiales,610,443,43,124,20.3,52.3,2.3
Banca_Pjuridica Versión 4.5,444,319,43,82,18.5,53.4,1.5
Desmarcación GMF,164,120,14,30,18.3,54.9,0.6
Banca_Pjuridica Versión 6,2508,1863,201,444,17.7,56.6,8.2
Procesos grupo ELITE,222,172,7,43,19.4,58.1,0.8
BICO,761,582,40,139,18.3,58.2,2.6
Pagos Virtuales,113,84,12,17,15.0,59.3,0.3
Banca virtual,398,301,36,61,15.3,60.3,1.1
Cancelación efectiva,90,67,11,12,13.3,61.1,0.2
Soporte y acompañamiento en el portal de pagos y emisiones de depositos,188,146,11,31,16.5,61.2,0.6
CDT /CDAT,84,66,6,12,14.3,64.3,0.2
"Horarios, Direcciones, telefonos, Ivr",1004,798,58,148,14.7,64.7,2.7
Cta Ahorros,3863,3071,254,538,13.9,65.6,10.0
Embargos / Desembargos,370,301,11,58,15.7,65.7,1.1
Oficinas,19,16,0,3,15.8,68.4,0.1
Banca Pnatural,16692,13581,1022,2089,12.5,68.8,38.7
Giro,675,540,64,71,10.5,69.5,1.3
Información Caja Agraria,361,296,20,45,12.5,69.5,0.8
Consulta si es Beneficiario,255,210,20,25,9.8,72.5,0.5
Crédito,6164,5182,330,652,10.6,73.5,12.1
Condiciones para el retiro o cobro del giro,16,14,0,2,12.5,75.0,0.0
Tarjeta de Crédito,1387,1184,60,143,10.3,75.1,2.6
Tarjeta de Debito,1234,1067,59,108,8.8,77.7,2.0
Cta Corriente,54,47,2,5,9.3,77.8,0.1
Cajeros Automaticos (ATM),32,28,1,3,9.4,78.1,0.1
Marcación GMF,185,160,10,15,8.1,78.4,0.3
Consulta de saldo,35,31,1,3,8.6,80.0,0.1
Información cuentas campañas políticas,95,83,6,6,6.3,81.1,0.1
Alivios de Cartera,369,331,15,23,6.2,83.5,0.4
Transacciones con TD y TC,20,18,1,1,5.0,85.0,0.0
Aplicación Movil,11,10,1,0,0.0,90.9,0.0
Banca Pjuridica,3,3,0,0,0.0,100.0,0.0
Corresponsales bancarios,1,1,0,0,0.0,100.0,0.0
Retención efectiva,2,2,0,0,0.0,100.0,0.0
