SUBPROCESO,Encuestas,Promotores,Neutros,Detractores,%Detractores,NPS,% de los detractores
Actualización correo en el backoffice,2,0,0,2,100.0,-100.0,0.0
Cambio a Bico,2,0,0,2,100.0,-100.0,0.0
No permite hacer compras/avances,1,0,0,1,100.0,-100.0,0.0
Error al subir archivo plano,3,1,0,2,66.7,-33.3,0.0
Producto con novedad,8,3,1,4,50.0,-12.5,0.1
Oficinas,2,1,0,1,50.0,0.0,0.0
Código de Juzgado no corresponde al tipo de deposito o juzgado asignado,6,3,0,3,50.0,0.0,0.1
Corresponsales Bancarios,2,1,0,1,50.0,0.0,0.0
Información especifica,2,1,0,1,50.0,0.0,0.0
Por la tasa de Interés,1,0,1,0,0.0,0.0,0.0
Información general,51,24,4,23,45.1,2.0,0.4
Saldo por intereses futuros,16,8,3,5,31.2,18.8,0.1
Solicitud de endoso,4,2,1,1,25.0,25.0,0.0
Saldo pendiente de pago,11,6,2,3,27.3,27.3,0.1
Consulta de solicitudes,14,8,2,4,28.6,28.6,0.1
Cancelación cuenta Digital,3,2,0,1,33.3,33.3,0.0
Información compra de cartera,3,2,0,1,33.3,33.3,0.0
Asesoria inscripción de terceros o cargue archivo plano,23,14,3,6,26.1,34.8,0.1
Demora en llegada clave temporal,21,14,1,6,28.6,38.1,0.1
Creación de novedad,47,30,7,10,21.3,42.6,0.2
Estado de TC diferente a Normal,98,65,10,23,23.5,42.9,0.4
Solicitud de Replica de PQR,14,9,2,3,21.4,42.9,0.1
Información Estado actual de PQR,340,229,30,81,23.8,43.5,1.5
Información desactualizada,16,11,1,4,25.0,43.8,0.1
Estado devolución de llamada,9,6,1,2,22.2,44.4,0.0
Asesoría transferencias o pagos por PSE,162,111,14,37,22.8,45.7,0.7
Persona Juridica,28,19,3,6,21.4,46.4,0.1
Soporte y acompañamiento en Bico,128,88,12,28,21.9,46.9,0.5
Lectura PQR,34,23,4,7,20.6,47.1,0.1
Saldo a favor,53,35,8,10,18.9,47.2,0.2
Otros Depósitos Especiales,426,302,32,92,21.6,49.3,1.7
Incidencias en la apertura,4,2,2,0,0.0,50.0,0.0
Solicitud de Prórroga,12,7,4,1,8.3,50.0,0.0
Requisitos / Condiciones,6,4,1,1,16.7,50.0,0.0
Seguridad Social,6,4,1,1,16.7,50.0,0.0
Bolsillos,2,1,1,0,0.0,50.0,0.0
Depósitos Judiciales Remates,81,60,2,19,23.5,50.6,0.4
Por la cuota de Manejo,17,11,4,2,11.8,52.9,0.0
Fallas tecnicas,394,281,42,71,18.0,53.3,1.3
Solicitudes de certificaciones y soportes,961,713,74,174,18.1,56.1,3.2
Aumento de topes (Ecommerce),14,11,0,3,21.4,57.1,0.1
Evidente fallido,59,44,5,10,16.9,57.6,0.2
Asesoria y acompañamiento en Bico,419,323,16,80,19.1,58.0,1.5
Radicación de PQR,385,287,35,63,16.4,58.2,1.2
PSE,103,76,11,16,15.5,58.3,0.3
Pago no aplicado,44,34,2,8,18.2,59.1,0.1
Actualización de Datos,257,191,28,38,14.8,59.5,0.7
No la utiliza,63,47,7,9,14.3,60.3,0.2
Soporte y acompañamiento en el portal,114,89,5,20,17.5,60.5,0.4
Asesoría transacciones,138,108,6,24,17.4,60.9,0.4
Soporte y acompañamiento en la Banca,9252,7149,606,1497,16.2,61.1,27.7
