PROCESO,Encuestas,Promotores,Neutros,Detractores,%Detractores,NPS,NPS Junio,Detrac Junio,NPS Julio,Detrac Julio,NPS Agosto,Detrac Agosto
Renta Ciudadana,1.0,0.0,0.0,1.0,100.0,-100.0,,,-100.0,1.0,,
Cambio de Modalidad de Pago,3.0,1.0,0.0,2.0,66.7,-33.3,0.0,1.0,-100.0,1.0,,
Credito Digital,20.0,7.0,2.0,11.0,55.0,-20.0,-12.5,8.0,-50.0,3.0,,
Cuenta de ahorros digital,18.0,7.0,1.0,10.0,55.6,-16.7,100.0,0.0,-11.1,5.0,-57.1,5.0
Aplicaciones moviles,9.0,3.0,2.0,4.0,44.4,-11.1,-14.3,3.0,100.0,0.0,-100.0,1.0
Información Caja Agraria,2.0,1.0,0.0,1.0,50.0,0.0,,,0.0,1.0,,
Procesos grupo ELITE,8.0,4.0,0.0,4.0,50.0,0.0,33.3,1.0,0.0,2.0,-100.0,1.0
Tasas y tarifas,1.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,
Aplicativos Banco,50.0,22.0,7.0,21.0,42.0,2.0,13.0,8.0,-19.0,11.0,33.3,2.0
Peticiones/Quejas/Reclamos,95.0,43.0,14.0,38.0,40.0,5.3,36.7,6.0,-2.5,17.0,-20.0,15.0
Pagos Virtuales,26.0,12.0,5.0,9.0,34.6,11.5,0.0,4.0,44.4,2.0,-16.7,3.0
Banca_Pjuridica Versión 4.5,102.0,48.0,18.0,36.0,35.3,11.8,43.8,2.0,11.1,11.0,3.4,23.0
Banca_Pjuridica Versión 6,342.0,181.0,53.0,108.0,31.6,21.3,20.0,10.0,18.9,31.0,22.6,67.0
Banca virtual,115.0,62.0,18.0,35.0,30.4,23.5,17.1,13.0,33.3,18.0,-25.0,4.0
Banca Pnatural,1984.0,1116.0,227.0,641.0,32.3,23.9,27.7,276.0,26.6,212.0,10.9,153.0
"Horarios, Direcciones, telefonos, Ivr",175.0,102.0,21.0,52.0,29.7,28.6,33.3,14.0,18.8,22.0,35.1,16.0
Embargos / Desembargos,46.0,30.0,1.0,15.0,32.6,32.6,42.9,2.0,42.9,6.0,16.7,7.0
Depositos Judiciales o Especiales,218.0,138.0,16.0,64.0,29.4,33.9,32.9,24.0,30.9,25.0,39.7,15.0
Cta Ahorros,773.0,488.0,88.0,197.0,25.5,37.6,39.6,49.0,34.1,87.0,40.8,61.0
Soporte y acompañamiento en el portal de pagos y emisiones de depositos,98.0,67.0,9.0,22.0,22.4,45.9,40.7,8.0,38.2,9.0,56.8,5.0
Tarjeta de Crédito,111.0,72.0,18.0,21.0,18.9,45.9,43.6,6.0,47.8,9.0,46.2,6.0
BICO,307.0,216.0,25.0,66.0,21.5,48.9,38.2,19.0,52.2,36.0,52.8,11.0
CDT /CDAT,16.0,12.0,1.0,3.0,18.8,56.2,0.0,2.0,100.0,0.0,50.0,1.0
Crédito,1621.0,1249.0,135.0,237.0,14.6,62.4,65.1,84.0,66.7,79.0,49.6,74.0
Condiciones para el retiro o cobro del giro,11.0,9.0,0.0,2.0,18.2,63.6,100.0,0.0,50.0,2.0,,
Cta Corriente,9.0,7.0,1.0,1.0,11.1,66.7,60.0,1.0,66.7,0.0,100.0,0.0
Alivios de Cartera,63.0,48.0,10.0,5.0,7.9,68.3,72.2,1.0,60.7,3.0,76.5,1.0
Consulta si es Beneficiario,184.0,146.0,18.0,20.0,10.9,68.5,57.8,15.0,77.9,5.0,75.0,0.0
Giro,289.0,216.0,56.0,17.0,5.9,68.9,61.8,4.0,62.4,6.0,80.4,7.0
Consulta de saldo,12.0,10.0,1.0,1.0,8.3,75.0,100.0,0.0,62.5,1.0,100.0,0.0
Tarjeta de Debito,43.0,37.0,3.0,3.0,7.0,79.1,83.3,1.0,70.0,2.0,100.0,0.0
Consulta de Fechas de Pagos,1.0,1.0,0.0,0.0,0.0,100.0,,,100.0,0.0,,
Aplicación Movil,1.0,1.0,0.0,0.0,0.0,100.0,,,,,100.0,0.0
Cajeros Automaticos (ATM),1.0,1.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,
Cancelación efectiva,1.0,1.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,
