MACROPROCESO,Encuestas,Promotores,Neutros,Detractores,%Detractores,NPS,NPS Junio,Detrac Junio,NPS Julio,Detrac Julio,NPS Agosto,Detrac Agosto
Retención,1.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,
Retención o Cancelación TC,269.0,182.0,34.0,53.0,19.7,48.0,40.0,21.0,48.3,23.0,61.1,9.0
Pendiente por tipificar,50.0,36.0,5.0,9.0,18.0,54.0,54.0,9.0,,,,
Información Oficinas / Corresponsales / Cajeros,90.0,67.0,8.0,15.0,16.7,57.8,61.8,5.0,53.8,7.0,58.8,3.0
Transferencia de Llamada,214.0,168.0,7.0,39.0,18.2,60.3,64.2,18.0,62.3,13.0,41.9,8.0
Colombia Mayor,19.0,15.0,1.0,3.0,15.8,63.2,50.0,3.0,100.0,0.0,66.7,0.0
GMF,349.0,280.0,24.0,45.0,12.9,67.3,73.4,15.0,60.3,23.0,67.8,7.0
Indisponibilidad de canales o productos,565.0,460.0,39.0,66.0,11.7,69.7,66.5,30.0,69.5,31.0,80.3,5.0
Renta Ciudadana / Devolución del Iva,97.0,82.0,2.0,13.0,13.4,71.1,69.7,5.0,76.6,5.0,58.8,3.0
Banco Agrario de Colombia,31409.0,26426.0,1631.0,3352.0,10.7,73.5,73.0,1233.0,74.5,1258.0,72.5,861.0
Ayuda Humanitaria,25.0,24.0,0.0,1.0,4.0,92.0,75.0,1.0,100.0,0.0,100.0,0.0
