PROCESO,Encuestas,Promotores,Neutros,Detractores,%Detractores,NPS,NPS Junio,Detrac Junio,NPS Julio,Detrac Julio,NPS Agosto,Detrac Agosto
Tasas y tarifas,2.0,0.0,1.0,1.0,50.0,-50.0,,,-50.0,1.0,,
Consulta de Fechas de Pagos,2.0,1.0,0.0,1.0,50.0,0.0,,,-100.0,1.0,100.0,0.0
No Efectiva,1.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,
Novedades con el pago por giro,4.0,2.0,0.0,2.0,50.0,0.0,,,100.0,0.0,-100.0,2.0
Cancelación no efectiva,178.0,114.0,23.0,41.0,23.0,41.0,28.8,19.0,45.2,17.0,57.1,5.0
Cuenta de ahorros digital,21.0,15.0,2.0,4.0,19.0,52.4,33.3,2.0,83.3,0.0,44.4,2.0
Desmarcación GMF,164.0,120.0,14.0,30.0,18.3,54.9,69.6,7.0,34.4,19.0,64.5,4.0
Aplicaciones moviles,63.0,46.0,6.0,11.0,17.5,55.6,42.9,7.0,61.3,4.0,100.0,0.0
Peticiones/Quejas/Reclamos,726.0,536.0,64.0,126.0,17.4,56.5,56.7,45.0,57.1,54.0,54.9,27.0
Procesos grupo ELITE,214.0,168.0,7.0,39.0,18.2,60.3,64.2,18.0,62.3,13.0,41.9,8.0
Cancelación efectiva,89.0,66.0,11.0,12.0,13.5,60.7,64.3,2.0,54.3,6.0,65.4,4.0
Banca_Pjuridica Versión 6,2166.0,1682.0,148.0,336.0,15.5,62.1,58.7,70.0,61.4,91.0,63.7,175.0
Aplicativos Banco,146.0,112.0,13.0,21.0,14.4,62.3,57.5,11.0,62.5,8.0,76.0,2.0
Credito Digital,8.0,6.0,1.0,1.0,12.5,62.5,100.0,0.0,25.0,1.0,100.0,0.0
Depositos Judiciales o Especiales,392.0,305.0,27.0,60.0,15.3,62.5,68.1,18.0,61.3,25.0,56.2,17.0
BICO,454.0,366.0,15.0,73.0,16.1,64.5,61.7,19.0,65.2,40.0,66.3,14.0
Banca_Pjuridica Versión 4.5,342.0,271.0,25.0,46.0,13.5,65.8,63.2,23.0,73.8,13.0,51.0,10.0
CDT /CDAT,68.0,54.0,5.0,9.0,13.2,66.2,66.7,2.0,76.7,3.0,52.2,4.0
Oficinas,19.0,16.0,0.0,3.0,15.8,68.4,62.5,3.0,100.0,0.0,,
Información Caja Agraria,359.0,295.0,20.0,44.0,12.3,69.9,65.6,24.0,67.9,18.0,86.4,2.0
Giro,386.0,324.0,8.0,54.0,14.0,69.9,75.0,16.0,84.6,7.0,54.8,31.0
Embargos / Desembargos,324.0,271.0,10.0,43.0,13.3,70.4,63.2,20.0,70.6,16.0,80.2,7.0
"Horarios, Direcciones, telefonos, Ivr",829.0,696.0,37.0,96.0,11.6,72.4,75.7,36.0,70.8,37.0,68.8,23.0
Cta Ahorros,3090.0,2583.0,166.0,341.0,11.0,72.6,74.7,102.0,71.9,139.0,70.9,100.0
Pagos Virtuales,87.0,72.0,7.0,8.0,9.2,73.6,80.6,3.0,75.0,2.0,60.9,3.0
Banca Pnatural,14708.0,12465.0,795.0,1448.0,9.8,74.9,73.5,614.0,75.6,551.0,76.4,283.0
Banca virtual,283.0,239.0,18.0,26.0,9.2,75.3,79.2,7.0,72.5,16.0,76.3,3.0
Cajeros Automaticos (ATM),31.0,27.0,1.0,3.0,9.7,77.4,60.0,1.0,72.2,2.0,100.0,0.0
Crédito,4543.0,3933.0,195.0,415.0,9.1,77.4,75.7,155.0,79.9,160.0,75.0,100.0
Tarjeta de Crédito,1276.0,1112.0,42.0,122.0,9.6,77.6,75.5,45.0,78.3,48.0,79.3,29.0
Tarjeta de Debito,1191.0,1030.0,56.0,105.0,8.8,77.7,76.9,36.0,76.8,41.0,79.9,28.0
Soporte y acompañamiento en el portal de pagos y emisiones de depositos,90.0,79.0,2.0,9.0,10.0,77.8,83.3,2.0,68.4,5.0,85.7,2.0
Marcación GMF,185.0,160.0,10.0,15.0,8.1,78.4,76.5,8.0,83.3,4.0,71.4,3.0
Cta Corriente,45.0,40.0,1.0,4.0,8.9,80.0,90.5,1.0,75.0,2.0,62.5,1.0
Información cuentas campañas políticas,95.0,83.0,6.0,6.0,6.3,81.1,92.6,1.0,81.2,2.0,65.0,3.0
Consulta de saldo,23.0,21.0,0.0,2.0,8.7,82.6,75.0,1.0,83.3,1.0,100.0,0.0
Consulta si es Beneficiario,71.0,64.0,2.0,5.0,7.0,83.1,77.8,3.0,87.9,2.0,81.8,0.0
Transacciones con TD y TC,20.0,18.0,1.0,1.0,5.0,85.0,76.9,1.0,100.0,0.0,100.0,0.0
Alivios de Cartera,306.0,283.0,5.0,18.0,5.9,86.6,86.6,8.0,86.2,7.0,87.5,3.0
Aplicación Movil,10.0,9.0,1.0,0.0,0.0,90.0,75.0,0.0,100.0,0.0,100.0,0.0
Corresponsales bancarios,1.0,1.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,
Condiciones para el retiro o cobro del giro,5.0,5.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,,
Banca Pjuridica,3.0,3.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0
Retención efectiva,2.0,2.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,,
