SUBPROCESO,Encuestas,Promotores,Neutros,Detractores,%Detractores,NPS,NPS Junio,Detrac Junio,NPS Julio,Detrac Julio,NPS Agosto,Detrac Agosto
Actualización correo en el backoffice,2.0,0.0,0.0,2.0,100.0,-100.0,,,-100.0,2.0,,
No permite hacer compras/avances,1.0,0.0,0.0,1.0,100.0,-100.0,,,-100.0,1.0,,
Requisitos / Condiciones,2.0,0.0,1.0,1.0,50.0,-50.0,-50.0,1.0,,,,
Producto con novedad,8.0,3.0,1.0,4.0,50.0,-12.5,50.0,0.0,-20.0,3.0,-100.0,1.0
Información especifica,2.0,1.0,0.0,1.0,50.0,0.0,100.0,0.0,-100.0,1.0,,
Cancelación cuenta Digital,2.0,1.0,0.0,1.0,50.0,0.0,0.0,1.0,,,,
Código de Juzgado no corresponde al tipo de deposito o juzgado asignado,4.0,2.0,0.0,2.0,50.0,0.0,,,-33.3,2.0,100.0,0.0
Corresponsales Bancarios,2.0,1.0,0.0,1.0,50.0,0.0,,,100.0,0.0,-100.0,1.0
Por la tasa de Interés,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
Oficinas,2.0,1.0,0.0,1.0,50.0,0.0,,,100.0,0.0,-100.0,1.0
Saldo por intereses futuros,16.0,8.0,3.0,5.0,31.2,18.8,0.0,2.0,33.3,2.0,0.0,1.0
Solicitud de endoso,4.0,2.0,1.0,1.0,25.0,25.0,100.0,0.0,100.0,0.0,-50.0,1.0
Saldo pendiente de pago,11.0,6.0,2.0,3.0,27.3,27.3,0.0,2.0,60.0,1.0,,
Consulta de solicitudes,14.0,8.0,2.0,4.0,28.6,28.6,0.0,3.0,100.0,0.0,50.0,1.0
Información compra de cartera,3.0,2.0,0.0,1.0,33.3,33.3,100.0,0.0,0.0,1.0,,
Incidencias en la apertura,3.0,1.0,2.0,0.0,0.0,33.3,100.0,0.0,0.0,0.0,0.0,0.0
Solicitud de Prórroga,3.0,2.0,0.0,1.0,33.3,33.3,,,0.0,1.0,100.0,0.0
Demora en llegada clave temporal,20.0,13.0,1.0,6.0,30.0,35.0,,,50.0,3.0,12.5,3.0
Asesoria inscripción de terceros o cargue archivo plano,21.0,13.0,3.0,5.0,23.8,38.1,0.0,1.0,75.0,0.0,35.7,4.0
Estado de TC diferente a Normal,98.0,65.0,10.0,23.0,23.5,42.9,37.5,10.0,42.5,9.0,55.6,4.0
Información desactualizada,16.0,11.0,1.0,4.0,25.0,43.8,60.0,1.0,12.5,3.0,100.0,0.0
Estado devolución de llamada,9.0,6.0,1.0,2.0,22.2,44.4,44.4,2.0,,,,
Asesoría transferencias o pagos por PSE,139.0,95.0,12.0,32.0,23.0,45.3,45.8,10.0,51.2,9.0,39.6,13.0
Creación de novedad,46.0,30.0,7.0,9.0,19.6,45.7,40.0,3.0,45.5,4.0,55.6,2.0
Saldo a favor,53.0,35.0,8.0,10.0,18.9,47.2,26.7,5.0,50.0,5.0,75.0,0.0
Lectura PQR,31.0,22.0,2.0,7.0,22.6,48.4,64.3,2.0,25.0,4.0,60.0,1.0
Bolsillos,2.0,1.0,1.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0,,
Seguridad Social,6.0,4.0,1.0,1.0,16.7,50.0,0.0,0.0,100.0,0.0,33.3,1.0
Depósitos Judiciales Remates,70.0,52.0,2.0,16.0,22.9,51.4,51.7,7.0,57.1,6.0,38.5,3.0
Información Estado actual de PQR,297.0,213.0,24.0,60.0,20.2,51.5,61.4,14.0,51.9,28.0,34.9,18.0
Por la cuota de Manejo,17.0,11.0,4.0,2.0,11.8,52.9,66.7,0.0,37.5,2.0,,
Solicitud de Replica de PQR,13.0,9.0,2.0,2.0,15.4,53.8,33.3,1.0,42.9,1.0,100.0,0.0
Colombia Mayor,7.0,5.0,1.0,1.0,14.3,57.1,0.0,1.0,100.0,0.0,50.0,0.0
Aumento de topes (Ecommerce),14.0,11.0,0.0,3.0,21.4,57.1,100.0,0.0,20.0,2.0,66.7,1.0
Evidente fallido,59.0,44.0,5.0,10.0,16.9,57.6,69.6,2.0,37.5,7.0,75.0,1.0
Pago no aplicado,43.0,33.0,2.0,8.0,18.6,58.1,63.6,2.0,55.0,4.0,58.3,2.0
Asesoria y acompañamiento en Bico,264.0,208.0,6.0,50.0,18.9,59.8,60.8,13.0,57.7,29.0,64.6,8.0
Soporte apertura,5.0,4.0,0.0,1.0,20.0,60.0,-100.0,1.0,100.0,0.0,100.0,0.0
No la utiliza,63.0,47.0,7.0,9.0,14.3,60.3,60.0,2.0,58.3,3.0,62.5,4.0
Radicación de PQR,338.0,261.0,29.0,48.0,14.2,63.0,55.1,25.0,67.2,17.0,71.4,6.0
